metric,action_budget,candidate_policy_id,baseline_policy_id,group_id,disease_group,patient_count,mean_paired_difference
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,acute_pancreatitis,급성 췌장염,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,bladder_cancer,방광암,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,chronic_pancreatitis,만성 췌장염,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,lung_cancer,폐암,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,migraine,편두통,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,nephrotic_syndrome,신증후군,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ovarian_cancer,난소암,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,pulmonary_fibrosis,폐섬유증,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,retinal_detachment,망막박리,3,0.0
trial_status_recovery,0,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,thyroid_eye_disease,갑상선 안병증,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,acute_pancreatitis,급성 췌장염,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,bladder_cancer,방광암,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,chronic_pancreatitis,만성 췌장염,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,lung_cancer,폐암,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,migraine,편두통,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,nephrotic_syndrome,신증후군,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ovarian_cancer,난소암,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,pulmonary_fibrosis,폐섬유증,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,retinal_detachment,망막박리,3,0.0
trial_status_recovery,1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,thyroid_eye_disease,갑상선 안병증,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,acute_pancreatitis,급성 췌장염,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,bladder_cancer,방광암,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,chronic_pancreatitis,만성 췌장염,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,lung_cancer,폐암,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,migraine,편두통,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,nephrotic_syndrome,신증후군,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ovarian_cancer,난소암,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,pulmonary_fibrosis,폐섬유증,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,retinal_detachment,망막박리,3,0.0
trial_status_recovery,2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,thyroid_eye_disease,갑상선 안병증,3,0.0
trial_status_recovery,3,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,acute_pancreatitis,급성 췌장염,3,0.0
trial_status_recovery,3,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,bladder_cancer,방광암,3,0.0
trial_status_recovery,3,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,chronic_pancreatitis,만성 췌장염,3,0.0
