suite,evaluation_distribution,budget,policy_id,policy_label,mean_status_match_rate,mean_status_matches_out_of_five,mean_new_status_matches_out_of_five,new_status_matches_per_action,mean_actions,mean_route_cost
public_patient_profiles,heldout,1,authored_order,입력 순서,0.615,3.075,1.075,1.1944444444444444,0.9,2.275
public_patient_profiles,heldout,1,clarifytrial_exact_coverage_v3,앞으로 확인할 정보 조합 계산,0.58,2.9,0.9,1.0,0.9,2.55
public_patient_profiles,heldout,1,clarifytrial_rule_v1,"여러 시험에 필요한 정보 우선, 같으면 확인 부담 비교",0.595,2.9749999999999996,0.975,1.0833333333333333,0.9,2.3
public_patient_profiles,heldout,1,exact_decision_tree_expected_horizon_1_v1,개발자료에서 답이 나올 비율을 학습한 방법,0.59,2.9499999999999997,0.95,1.0,0.95,2.475
public_patient_profiles,heldout,1,exact_decision_tree_worst_case_horizon_1_v1,개발자료에서 가장 불리한 답을 가정한 방법,0.57,2.8499999999999996,0.85,0.9444444444444444,0.9,2.25
public_patient_profiles,heldout,1,impact_per_cost,영향 대비 확인 부담,0.585,2.925,0.925,1.0277777777777777,0.9,1.975
public_patient_profiles,heldout,1,no_questions,추가 확인 없음,0.4,2.0,0.0,,0,0
public_patient_profiles,heldout,1,outcome_entropy,개발자료에서 답이 잘 나뉘는 정보 우선,0.545,2.725,0.725,0.8055555555555556,0.9,2.025
public_patient_profiles,heldout,1,random_order_expectation,가능한 정보 순서 전체 평균,0.5624166666666667,2.8120833333333333,0.8120833333333334,0.9023148148148148,0.9,2.2175
public_patient_profiles,heldout,1,widest_impact,현재 영향이 큰 정보 우선,0.62,3.1,1.1,1.2222222222222223,0.9,2.525
public_declared_value_grid,heldout_kernel,1,authored_order,입력 순서,0.6463034887566138,3.2315174437830687,1.0389537863756613,1.1942474175860727,0.8699652777777778,2.210168650793651
public_declared_value_grid,heldout_kernel,1,clarifytrial_exact_coverage_v3,앞으로 확인할 정보 조합 계산,0.6403440117945327,3.201720058972663,1.0091564015652559,1.1599961830005734,0.8699652777777778,2.4682291666666667
public_declared_value_grid,heldout_kernel,1,clarifytrial_rule_v1,"여러 시험에 필요한 정보 우선, 같으면 확인 부담 비교",0.6480447117504409,3.240223558752205,1.0476599013447971,1.2042548456886912,0.8699652777777778,2.2142857142857144
public_declared_value_grid,heldout_kernel,1,exact_decision_tree_expected_horizon_1_v1,개발자료에서 답이 나올 비율을 학습한 방법,0.6477385912698412,3.2386929563492064,1.046129298941799,1.1104122150801834,0.9421089616402116,2.4354828042328043
public_declared_value_grid,heldout_kernel,1,exact_decision_tree_worst_case_horizon_1_v1,개발자료에서 가장 불리한 답을 가정한 방법,0.6374366319444444,3.187183159722222,0.9946195023148148,1.1432864365063526,0.8699652777777778,2.1904017857142857
