group_id,profile_id,mask_count,policy_id,policy_label,budget_0_score,budget_1_score,budget_2_score,budget_3_score,raw_auc_over_budget_0_to_3,normalized_auc
breast_cancer,bc-04,2,random_order_expectation,가능한 정보 순서 전체 평균,0.30000000000000004,0.385,0.45999999999999996,0.55,1.27,0.42333333333333334
breast_cancer,bc-04,2,widest_impact,현재 영향이 큰 정보 우선,0.30000000000000004,0.30000000000000004,0.5,0.6,1.25,0.4166666666666667
breast_cancer,bc-04,2,clarifytrial_rule_v1,"여러 시험에 필요한 정보 우선, 같으면 확인 부담 비교",0.30000000000000004,0.30000000000000004,0.5,0.6,1.25,0.4166666666666667
breast_cancer,bc-04,2,clarifytrial_exact_coverage_v3,앞으로 확인할 정보 조합 계산,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.6,1.05,0.35000000000000003
breast_cancer,bc-04,2,exact_decision_tree_expected_horizon_1_v1,개발자료에서 답이 나올 비율을 학습한 방법,0.30000000000000004,0.6,0.6,0.6,1.65,0.5499999999999999
breast_cancer,bc-05,2,random_order_expectation,가능한 정보 순서 전체 평균,0.5,0.8500000000000001,0.96,0.99,2.555,0.8516666666666667
breast_cancer,bc-05,2,widest_impact,현재 영향이 큰 정보 우선,0.5,0.9,1.0,1.0,2.65,0.8833333333333333
breast_cancer,bc-05,2,clarifytrial_rule_v1,"여러 시험에 필요한 정보 우선, 같으면 확인 부담 비교",0.5,0.9,1.0,1.0,2.65,0.8833333333333333
breast_cancer,bc-05,2,clarifytrial_exact_coverage_v3,앞으로 확인할 정보 조합 계산,0.5,0.9,0.9,1.0,2.55,0.85
breast_cancer,bc-05,2,exact_decision_tree_expected_horizon_1_v1,개발자료에서 답이 나올 비율을 학습한 방법,0.5,0.6,1.0,1.0,2.35,0.7833333333333333
breast_cancer,bc-06,2,random_order_expectation,가능한 정보 순서 전체 평균,0.6,0.6,0.6,0.61,1.805,0.6016666666666667
breast_cancer,bc-06,2,widest_impact,현재 영향이 큰 정보 우선,0.6,0.6,0.6,0.7,1.8499999999999999,0.6166666666666666
breast_cancer,bc-06,2,clarifytrial_rule_v1,"여러 시험에 필요한 정보 우선, 같으면 확인 부담 비교",0.6,0.6,0.6,0.7,1.8499999999999999,0.6166666666666666
breast_cancer,bc-06,2,clarifytrial_exact_coverage_v3,앞으로 확인할 정보 조합 계산,0.6,0.6,0.6,0.7,1.8499999999999999,0.6166666666666666
breast_cancer,bc-06,2,exact_decision_tree_expected_horizon_1_v1,개발자료에서 답이 나올 비율을 학습한 방법,0.6,0.6,0.6,0.6,1.7999999999999998,0.6
breast_cancer,bc-07,2,random_order_expectation,가능한 정보 순서 전체 평균,0.8,0.94,0.995,1.0,2.835,0.945
